company_id,UVP_true,Data Uniqueness_true,UVP_predicted,Data Uniqueness_predicted
28367,Ok for 3-5 years,N/A,Ok for 3-5 years,Not Special/Publicly Available
27989,Ok for 1-2 years,Not Special/Publicly Available,Ok for 3-5 years,Not Special/Publicly Available
27966,Ok for 5-8 years,Large/Difficult to Obtain,Ok for 3-5 years,Large/Difficult to Obtain
27943,Ok for 1-2 years,Not Special/Publicly Available,Ok for 3-5 years,Large/Difficult to Obtain
27890,Ok for 1-2 years,Large/Difficult to Obtain,Ok for 3-5 years,Large/Difficult to Obtain
27883,Ok for 1-2 years,Not Special/Publicly Available,Ok for 3-5 years,Not Special/Publicly Available
27867,Ok for 1-2 years,N/A,Ok for 1-2 years,Not Special/Publicly Available
27843,Ok for 3-5 years,N/A,Ok for 5-8 years,Large/Difficult to Obtain
27821,Ok for 1-2 years,Not Special/Publicly Available,Ok for 1-2 years,Not Special/Publicly Available
27817,Ok for 3-5 years,Not Special/Publicly Available,Ok for 1-2 years,Large/Difficult to Obtain
27734,Ok for 1-2 years,N/A,Ok for 3-5 years,Large/Difficult to Obtain
27675,Already obsolete,Not Special/Publicly Available,Ok for 5-8 years,Large/Difficult to Obtain
27687,Ok for 1-2 years,Large/Difficult to Obtain,Ok for 3-5 years,Large/Difficult to Obtain
27254,Ok for 5-8 years,Large/Difficult to Obtain,N/A,Large/Difficult to Obtain
26884,Ok for 3-5 years,Large/Difficult to Obtain,Ok for 1-2 years,Large/Difficult to Obtain
26837,Ok for 1-2 years,N/A,Ok for 3-5 years,Large/Difficult to Obtain
27361,Ok for 5-8 years,Large/Difficult to Obtain,Ok for 3-5 years,Large/Difficult to Obtain
27261,Ok for 3-5 years,N/A,Ok for 5-8 years,Large/Difficult to Obtain
27248,Ok for 3-5 years,Not Special/Publicly Available,Ok for 5-8 years,Large/Difficult to Obtain
27224,Ok for 5-8 years,Not Special/Publicly Available,Ok for 5-8 years,Large/Difficult to Obtain
27166,Ok for 1-2 years,Not Special/Publicly Available,Ok for 1-2 years,Large/Difficult to Obtain
27038,Ok for 1-2 years,Not Special/Publicly Available,Ok for 3-5 years,Large/Difficult to Obtain
26913,Already obsolete,Not Special/Publicly Available,Ok for 3-5 years,Not Special/Publicly Available
26859,Already obsolete,Not Special/Publicly Available,Ok for 3-5 years,Not Special/Publicly Available
