company_id,UVP_true,Data Uniqueness_true,UVP_predicted,Data Uniqueness_predicted
28367,Ok for 3-5 years,N/A,Ok for 5-8 years,Not Special/Publicly Available
27989,Ok for 1-2 years,Not Special/Publicly Available,Ok for 3-5 years,Not Special/Publicly Available
27966,Ok for 5-8 years,Large/Difficult to Obtain,Ok for 5-8 years,Large/Difficult to Obtain
27943,Ok for 1-2 years,Not Special/Publicly Available,Ok for 5-8 years,Large/Difficult to Obtain
27890,Ok for 1-2 years,Large/Difficult to Obtain,Ok for 5-8 years,Large/Difficult to Obtain
27883,Ok for 1-2 years,Not Special/Publicly Available,Ok for 5-8 years,Large/Difficult to Obtain
27867,Ok for 1-2 years,N/A,Ok for 1-2 years,Large/Difficult to Obtain
27843,Ok for 3-5 years,N/A,Ok for 1-2 years,Large/Difficult to Obtain
27821,Ok for 1-2 years,Not Special/Publicly Available,Ok for 1-2 years,Not Special/Publicly Available
27817,Ok for 3-5 years,Not Special/Publicly Available,Ok for 3-5 years,Large/Difficult to Obtain
27734,Ok for 1-2 years,N/A,Ok for 5-8 years,Not Special/Publicly Available
27675,Already obsolete,Not Special/Publicly Available,Ok for 3-5 years,Large/Difficult to Obtain
27687,Ok for 1-2 years,Large/Difficult to Obtain,Ok for 5-8 years,Large/Difficult to Obtain
27254,Ok for 5-8 years,Large/Difficult to Obtain,Ok for 5-8 years,Large/Difficult to Obtain
26884,Ok for 3-5 years,Large/Difficult to Obtain,Ok for 5-8 years,Large/Difficult to Obtain
26837,Ok for 1-2 years,N/A,Ok for 5-8 years,Large/Difficult to Obtain
27361,Ok for 5-8 years,Large/Difficult to Obtain,Ok for 5-8 years,Large/Difficult to Obtain
27261,Ok for 3-5 years,N/A,Ok for 5-8 years,Large/Difficult to Obtain
27248,Ok for 3-5 years,Not Special/Publicly Available,Ok for 5-8 years,Large/Difficult to Obtain
27224,Ok for 5-8 years,Not Special/Publicly Available,Ok for 5-8 years,Large/Difficult to Obtain
27166,Ok for 1-2 years,Not Special/Publicly Available,Ok for 1-2 years,Not Special/Publicly Available
27038,Ok for 1-2 years,Not Special/Publicly Available,Ok for 1-2 years,Not Special/Publicly Available
26913,Already obsolete,Not Special/Publicly Available,Ok for 1-2 years,Not Special/Publicly Available
26883,Ok for 3-5 years,Large/Difficult to Obtain,Ok for 5-8 years,Large/Difficult to Obtain
26859,Already obsolete,Not Special/Publicly Available,Ok for 5-8 years,Large/Difficult to Obtain
26819,Ok for 3-5 years,Large/Difficult to Obtain,Ok for 5-8 years,Large/Difficult to Obtain
26776,Already obsolete,Quantity questionable,Ok for 5-8 years,Large/Difficult to Obtain
26750,Ok for 1-2 years,Not Special/Publicly Available,Ok for 3-5 years,Large/Difficult to Obtain
26741,Ok for 3-5 years,Large/Difficult to Obtain,Ok for 5-8 years,Not Special/Publicly Available
26722,Ok for 5-8 years,Large/Difficult to Obtain,Ok for 3-5 years,Large/Difficult to Obtain
26690,Already obsolete,N/A,Ok for 3-5 years,Large/Difficult to Obtain
26704,Already obsolete,N/A,Ok for 1-2 years,Large/Difficult to Obtain
26480,Ok for 1-2 years,Not Special/Publicly Available,Ok for 5-8 years,Large/Difficult to Obtain
26311,Ok for 5-8 years,Large/Difficult to Obtain,Ok for 5-8 years,Large/Difficult to Obtain
26296,Ok for 1-2 years,Not Special/Publicly Available,Ok for 5-8 years,Large/Difficult to Obtain
26119,Ok for 3-5 years,Large/Difficult to Obtain,Ok for 3-5 years,Large/Difficult to Obtain
25991,Ok for 1-2 years,Not Special/Publicly Available,Ok for 5-8 years,Not Special/Publicly Available
25892,Already obsolete,N/A,Ok for 3-5 years,Large/Difficult to Obtain
25849,Already obsolete,Not Special/Publicly Available,Ok for 1-2 years,Not Special/Publicly Available
25831,Ok for 1-2 years,Not Special/Publicly Available,Ok for 3-5 years,Not Special/Publicly Available
25866,Ok for 1-2 years,Not Special/Publicly Available,Ok for 1-2 years,Not Special/Publicly Available
25727,Already obsolete,Not Special/Publicly Available,Ok for 5-8 years,Not Special/Publicly Available
25714,Ok for 1-2 years,N/A,Ok for 5-8 years,Large/Difficult to Obtain
25672,Ok for 1-2 years,Large/Difficult to Obtain,Ok for 3-5 years,Large/Difficult to Obtain
25617,Ok for 5-8 years,Large/Difficult to Obtain,Ok for 5-8 years,Large/Difficult to Obtain
25587,Already obsolete,Quantity questionable,Ok for 5-8 years,Large/Difficult to Obtain
25585,Ok for 1-2 years,N/A,Ok for 3-5 years,Large/Difficult to Obtain
25569,Already obsolete,Not Special/Publicly Available,Ok for 1-2 years,Not Special/Publicly Available
25558,Ok for 3-5 years,Not Special/Publicly Available,Ok for 5-8 years,Not Special/Publicly Available
25400,Ok for 5-8 years,Large/Difficult to Obtain,Ok for 5-8 years,Large/Difficult to Obtain
25358,Ok for 1-2 years,Not Special/Publicly Available,Ok for 3-5 years,Not Special/Publicly Available
25356,Ok for 1-2 years,Not Special/Publicly Available,Ok for 3-5 years,Not Special/Publicly Available
25343,Ok for 1-2 years,Not Special/Publicly Available,Ok for 1-2 years,Not Special/Publicly Available
25314,Ok for 3-5 years,Quantity questionable,Ok for 1-2 years,Not Special/Publicly Available
25058,Ok for 1-2 years,Not Special/Publicly Available,N/A,Not Special/Publicly Available
24893,Ok for 1-2 years,Not Special/Publicly Available,N/A,Large/Difficult to Obtain
24725,Ok for 3-5 years,Not Special/Publicly Available,Ok for 5-8 years,Not Special/Publicly Available
24680,Ok for 1-2 years,Not Special/Publicly Available,Ok for 5-8 years,Large/Difficult to Obtain
24622,Ok for 5-8 years,Large/Difficult to Obtain,Ok for 5-8 years,Large/Difficult to Obtain
24668,Already obsolete,Not Special/Publicly Available,Ok for 5-8 years,Not Special/Publicly Available
24616,Ok for 1-2 years,Not Special/Publicly Available,Ok for 1-2 years,Not Special/Publicly Available
24615,Ok for 1-2 years,Not Special/Publicly Available,Ok for 5-8 years,Large/Difficult to Obtain
24603,Ok for 1-2 years,Not Special/Publicly Available,Ok for 1-2 years,Not Special/Publicly Available
24586,Ok for 5-8 years,Large/Difficult to Obtain,Ok for 5-8 years,Large/Difficult to Obtain
24556,Ok for 3-5 years,Large/Difficult to Obtain,Ok for 5-8 years,Large/Difficult to Obtain
24551,Ok for 1-2 years,N/A,Ok for 5-8 years,Large/Difficult to Obtain
24526,Ok for 1-2 years,Not Special/Publicly Available,Ok for 3-5 years,Not Special/Publicly Available
24476,Ok for 5-8 years,Large/Difficult to Obtain,Ok for 5-8 years,Large/Difficult to Obtain
24391,Ok for 1-2 years,Large/Difficult to Obtain,Ok for 5-8 years,Large/Difficult to Obtain
24192,Ok for 3-5 years,N/A,Ok for 3-5 years,Large/Difficult to Obtain
24161,Ok for 3-5 years,Large/Difficult to Obtain,Ok for 3-5 years,Not Special/Publicly Available
24153,Ok for 1-2 years,Not Special/Publicly Available,Ok for 1-2 years,Not Special/Publicly Available
24045,Ok for 3-5 years,Large/Difficult to Obtain,Ok for 5-8 years,Large/Difficult to Obtain
24039,Already obsolete,Not Special/Publicly Available,Ok for 3-5 years,Not Special/Publicly Available
23977,Ok for 3-5 years,Large/Difficult to Obtain,Ok for 5-8 years,Not Special/Publicly Available
24383,Already obsolete,Not Special/Publicly Available,Ok for 3-5 years,Large/Difficult to Obtain
23521,Ok for 5-8 years,Large/Difficult to Obtain,Ok for 5-8 years,Large/Difficult to Obtain
23415,Ok for 1-2 years,Not Special/Publicly Available,Ok for 1-2 years,Not Special/Publicly Available
23371,Ok for 1-2 years,Not Special/Publicly Available,Ok for 1-2 years,Not Special/Publicly Available
23303,Already obsolete,Not Special/Publicly Available,Ok for 5-8 years,Large/Difficult to Obtain
23200,Already obsolete,Not Special/Publicly Available,Ok for 5-8 years,Not Special/Publicly Available
23037,Ok for 1-2 years,Not Special/Publicly Available,Ok for 3-5 years,Large/Difficult to Obtain
23017,Ok for 1-2 years,Large/Difficult to Obtain,Ok for 5-8 years,Not Special/Publicly Available
22855,Ok for 1-2 years,Not Special/Publicly Available,Ok for 3-5 years,Large/Difficult to Obtain
22835,Ok for 1-2 years,Not Special/Publicly Available,Ok for 1-2 years,Not Special/Publicly Available
22781,Ok for 3-5 years,Not Special/Publicly Available,Ok for 5-8 years,Large/Difficult to Obtain
22744,Ok for 1-2 years,Not Special/Publicly Available,Ok for 3-5 years,Large/Difficult to Obtain
22714,Already obsolete,Not Special/Publicly Available,Ok for 1-2 years,Not Special/Publicly Available
22661,Ok for 5-8 years,Large/Difficult to Obtain,Ok for 5-8 years,Large/Difficult to Obtain
22627,Ok for 3-5 years,Large/Difficult to Obtain,Ok for 5-8 years,Large/Difficult to Obtain
22608,Already obsolete,Not Special/Publicly Available,Ok for 1-2 years,Not Special/Publicly Available
13330,Ok for 3-5 years,Quantity questionable,Ok for 3-5 years,Not Special/Publicly Available
22063,Ok for 1-2 years,Large/Difficult to Obtain,Ok for 1-2 years,Not Special/Publicly Available
21915,Ok for 1-2 years,Large/Difficult to Obtain,Ok for 5-8 years,Not Special/Publicly Available
21894,Ok for 1-2 years,Not Special/Publicly Available,Ok for 3-5 years,Not Special/Publicly Available
21857,Already obsolete,Not Special/Publicly Available,Ok for 3-5 years,Large/Difficult to Obtain
13435,Ok for 1-2 years,Not Special/Publicly Available,Ok for 3-5 years,Not Special/Publicly Available
13348,Ok for 3-5 years,Large/Difficult to Obtain,Ok for 5-8 years,Large/Difficult to Obtain
13224,Ok for 3-5 years,Large/Difficult to Obtain,Ok for 5-8 years,Large/Difficult to Obtain
13218,Ok for 3-5 years,Large/Difficult to Obtain,Ok for 5-8 years,Large/Difficult to Obtain
13147,Ok for 1-2 years,Not Special/Publicly Available,Ok for 3-5 years,Not Special/Publicly Available
13144,Ok for 1-2 years,Large/Difficult to Obtain,Ok for 5-8 years,Large/Difficult to Obtain
13145,Already obsolete,Quantity questionable,Ok for 5-8 years,Large/Difficult to Obtain
